id,EAP,HPL,MWS
id01455,0.26,0.56,0.18
id01458,0.22,0.32,0.46
id01461,0.24,0.38,0.38
id01465,0.64,0.04,0.32
id01466,0.24,0.52,0.24
id01473,0.62,0.18,0.2
id01474,0.26,0.3,0.44
id01475,0.32,0.36,0.32
id01477,0.3,0.24,0.46
id01484,0.34,0.38,0.28
id01486,0.6,0.18,0.22
id01487,0.24,0.42,0.34
id01490,0.24,0.14,0.62
id01495,0.9,0.06,0.04
id01497,0.26,0.32,0.42
id01505,0.6,0.4,0
id01510,0.28,0.4,0.32
id01520,0.8,0.14,0.06
id01522,0.32,0.56,0.12
id01525,0.3,0.26,0.44
id01526,0.58,0.26,0.16
id01539,0.4,0.3,0.3
id01544,0.66,0.04,0.3
id01546,0.3,0.58,0.12
id01551,0.22,0.4,0.38
id01552,0.22,0.26,0.52
id01553,0.66,0,0.34
id01556,0.12,0.28,0.6
id01572,0.18,0.44,0.38
id01574,0.24,0.32,0.44
id01575,0.68,0.16,0.16
id01578,0.36,0.28,0.36
id01581,0.28,0.04,0.68
id01582,0.22,0.24,0.54
id01584,0.76,0.16,0.08
id01586,0.16,0.56,0.28
id01591,0.6,0.1,0.3
id01592,0.3,0.24,0.46
id01594,0.5,0.3,0.2
id01598,0.36,0.34,0.3
id01599,0.34,0.44,0.22
id01605,0.58,0.2,0.22
id01611,0.34,0.32,0.34
id01616,0.26,0.56,0.18
id01617,0.58,0.18,0.24
id01618,0.18,0.52,0.3
id01621,0.44,0.48,0.08
id01631,0.62,0.3,0.08
id01632,0.3,0.26,0.44
id01635,0.28,0.46,0.26
id01637,0.22,0.54,0.24
id01639,0.8,0.14,0.06
id01642,0.32,0.44,0.24
id01643,0.54,0.2,0.26
id01645,0.58,0.24,0.18
id01649,0.88,0.02,0.1
id01650,0.2,0.06,0.74
id01658,0.48,0.14,0.38
id01664,0.14,0.42,0.44
id01665,0.2,0.6,0.2
id01670,0.34,0.24,0.42
id01671,0.48,0.28,0.24
id01672,0.76,0.08,0.16
id01679,0.5,0.28,0.22
id01682,0.4,0.34,0.26
id01685,0.72,0.1,0.18
id01686,0.6,0.24,0.16
id01689,0.22,0.52,0.26
id01691,0.2,0.64,0.16
id01694,0.18,0.4,0.42
id01695,0.2,0.4,0.4
id01696,0.7,0.22,0.08
id01698,0.7,0.1,0.2
id01700,0.4,0.32,0.28
id01701,0.36,0.32,0.32
id01709,0.56,0.26,0.18
id01713,0.56,0.26,0.18
id01714,0.58,0.24,0.18
id01716,0.46,0.32,0.22
id01718,0.2,0.4,0.4
id01724,0.34,0.52,0.14
id01727,0.6,0.12,0.28
id01730,0.38,0.22,0.4
id01731,0.66,0.16,0.18
id01736,0.5,0.26,0.24
id01740,0.06,0.12,0.82
id01743,0.16,0.48,0.36
id01745,0.5,0.28,0.22
id01749,0.64,0.26,0.1
id01751,0.22,0.4,0.38
id01753,0.5,0.24,0.26
id01754,0.38,0.4,0.22
id01755,0.48,0.26,0.26
id01758,0.52,0.16,0.32
id01760,0.52,0.1,0.38
id01765,0.4,0.26,0.34
id01768,0.58,0.26,0.16
id01771,0.5,0.14,0.36
id01772,0.44,0.04,0.52
id01774,0.2,0.1,0.7
id01775,0.14,0.72,0.14
id01778,0.28,0.26,0.46
id01779,0.12,0.3,0.58
id01783,0.28,0.14,0.58
id01784,0.7,0.06,0.24
id01787,0.46,0.3,0.24
id01789,0.78,0.12,0.1
id01794,0.68,0.22,0.1
id01799,0.66,0.26,0.08
id01801,0.12,0.22,0.66
id01802,0.28,0.3,0.42
id01828,0.14,0.38,0.48
id01834,0.3,0.32,0.38
id01840,0.2,0.28,0.52
id01842,0.3,0.32,0.38
id01848,0.22,0.12,0.66
id01850,0.86,0.1,0.04
id01856,0.62,0.24,0.14
id01860,0.36,0.18,0.46
id01861,0.88,0.1,0.02
id01862,0.32,0.44,0.24
id01868,0.28,0.44,0.28
id01870,0.16,0.66,0.18
id01871,0.44,0.26,0.3
id01874,0.3,0.44,0.26
id01875,0.32,0.18,0.5
id01877,0.52,0.4,0.08
id01878,0.34,0.38,0.28
id01881,0.36,0.2,0.44
id01883,0.34,0.44,0.22
id01886,0.42,0.3,0.28
id01888,0.62,0.18,0.2
id01897,0.2,0.5,0.3
id01898,0.42,0.2,0.38
id01901,0.56,0.14,0.3
id01905,0.32,0.12,0.56
id01911,0.58,0.08,0.34
id01914,0.38,0.5,0.12
id01915,0.06,0.58,0.36
id01916,0.36,0.38,0.26
id01919,0.44,0.34,0.22
id01923,0.32,0.14,0.54
id01927,0.6,0.2,0.2
id01930,0.34,0.12,0.54
id01932,0.58,0.26,0.16
id01935,0.66,0.04,0.3
id01936,0.54,0.34,0.12
id01938,0.44,0.28,0.28
id01939,0.54,0.22,0.24
id01940,0.62,0.08,0.3
id01941,0.54,0.36,0.1
id01942,0.22,0.28,0.5
id01944,0.76,0.08,0.16
id01945,0.52,0.22,0.26
id01946,0.86,0.04,0.1
id01954,0.42,0.32,0.26
id01972,0.38,0.18,0.44
id01975,0.38,0.2,0.42
id01977,0.14,0.58,0.28
id01978,0.4,0.24,0.36
id01980,0.78,0.12,0.1
id01981,0.6,0.3,0.1
id01990,0.46,0.32,0.22
id01991,0.56,0.28,0.16
id01994,0.4,0.3,0.3
id01995,0.38,0.18,0.44
id02007,0.36,0.16,0.48
id02009,0.7,0.1,0.2
id02019,0.38,0.32,0.3
id02020,0.34,0.44,0.22
id02023,0.52,0.24,0.24
id02026,0.62,0.12,0.26
id02030,0.36,0.28,0.36
id02037,0.54,0.14,0.32
id02039,0.38,0.38,0.24
id02041,0.44,0.36,0.2
id02043,0.36,0.18,0.46
id02048,0.84,0.14,0.02
id02052,0.48,0.26,0.26
id02054,0.6,0.28,0.12
id02058,0.52,0.1,0.38
id02059,0.32,0.38,0.3
id02068,0.64,0.16,0.2
id02070,0.12,0.34,0.54
id02071,0.34,0.52,0.14
id02074,0.66,0.08,0.26
id02077,0.54,0.16,0.3
id02078,0.4,0.36,0.24
id02082,0.32,0.6,0.08
id02097,0.22,0.48,0.3
id02098,0.36,0.34,0.3
id02100,0.52,0.12,0.36
id02103,0.4,0.26,0.34
id02107,0.5,0.18,0.32
id02108,0.66,0.3,0.04
id02110,0.64,0.26,0.1
id02111,0.34,0.36,0.3
id02116,0.52,0.18,0.3
id02120,0.78,0.14,0.08
id02129,0.08,0.14,0.78
id02132,0.26,0.44,0.3
id02133,0.66,0.24,0.1
id02134,0.78,0.14,0.08
id02135,0.38,0.22,0.4
id02136,0.4,0.4,0.2
id02137,0.66,0.08,0.26
id02139,0.34,0.24,0.42
id02157,0.24,0.7,0.06
id02158,0.14,0.62,0.24
id02161,0.5,0.14,0.36
id02162,0.28,0.5,0.22
id02166,0.4,0.24,0.36
id02167,0.48,0.1,0.42
id02169,0.52,0.14,0.34
id02177,0.52,0.22,0.26
id02180,0.22,0.52,0.26
id02183,0.32,0.42,0.26
id02184,0.26,0.38,0.36
id02189,0.74,0.08,0.18
id02190,0.74,0.22,0.04
id02195,0.48,0.28,0.24
id02198,0.36,0.48,0.16
id02200,0.48,0.3,0.22
id02202,0.44,0.08,0.48
id02205,0.42,0.38,0.2
id02208,0.66,0.18,0.16
id02211,0.48,0.2,0.32
id02214,0.34,0.2,0.46
id02215,0.48,0.36,0.16
id02216,0.72,0.1,0.18
id02218,0.28,0.24,0.48
id02220,0.36,0.42,0.22
id02223,0.74,0.1,0.16
id02225,0.28,0.3,0.42
id02226,0.32,0.4,0.28
id02230,0.36,0.4,0.24
id02239,0.36,0.16,0.48
id02240,0.18,0.48,0.34
id02243,0.16,0.26,0.58
id02248,0.32,0.28,0.4
id02249,0.28,0.62,0.1
id02255,0.16,0.58,0.26
id02256,0.3,0.58,0.12
id02264,0.3,0.46,0.24
id02265,0.4,0.34,0.26
id02266,0.34,0.26,0.4
id02273,0.22,0.34,0.44
id02275,0.32,0.4,0.28
id02280,0.28,0.4,0.32
id02281,0.38,0.18,0.44
id02284,0.58,0.18,0.24
id02286,0.16,0.48,0.36
id02288,0.18,0.7,0.12
id02292,0.7,0.1,0.2
id02294,1,0,0
id02295,0.72,0.14,0.14
id02296,0.26,0.24,0.5
id02301,0.48,0.26,0.26
id02302,0.24,0.2,0.56
id02305,0.46,0.3,0.24
id02306,0.46,0.42,0.12
id02307,0.46,0.06,0.48
id02309,0.6,0.2,0.2
id02310,0.34,0.04,0.62
id02311,0.3,0.38,0.32
id02316,0.78,0.06,0.16
id02321,0.26,0.12,0.62
id02323,0.32,0.54,0.14
id02327,0.5,0.12,0.38
id02334,0.28,0.54,0.18
id02335,0.44,0.24,0.32
id02337,0.1,0.6,0.3
id02338,0.48,0.04,0.48
id02341,0.22,0.12,0.66
id02342,0.52,0.18,0.3
id02347,0.58,0.1,0.32
id02348,0.48,0.16,0.36
id02353,0.22,0.58,0.2
id02354,0.36,0.36,0.28
id02355,0.4,0.32,0.28
id02370,0.6,0.36,0.04
id02378,0.16,0.16,0.68
id02380,0.52,0.12,0.36
id02382,0.64,0.04,0.32
id02385,0.38,0.26,0.36
id02387,0.42,0.42,0.16
id02390,0.36,0.12,0.52
id02393,0.22,0.18,0.6
id02395,0.32,0.46,0.22
id02396,0.38,0.18,0.44
id02398,0.32,0.56,0.12
id02404,0.18,0.62,0.2
id02407,0.24,0.6,0.16
id02409,0.38,0.2,0.42
id02414,0.42,0.08,0.5
id02419,0.32,0.16,0.52
id02420,0.44,0.44,0.12
id02425,0.4,0.28,0.32
id02429,0.12,0.18,0.7
id02431,0.6,0.22,0.18
id02434,0.74,0.1,0.16
id02440,0.86,0.12,0.02
id02442,0.4,0.3,0.3
id02449,0.34,0.22,0.44
id02452,0.68,0.06,0.26
id02454,0.28,0.52,0.2
id02457,0.36,0.5,0.14
id02466,0.58,0.16,0.26
id02468,0.3,0.32,0.38
id02469,0.46,0.12,0.42
id02470,0.42,0.24,0.34
id02471,0.3,0.24,0.46
id02478,0.08,0.32,0.6
id02483,0.68,0.2,0.12
id02487,0.68,0.14,0.18
id02488,0.24,0.22,0.54
id02489,0.24,0.32,0.44
id02497,0.72,0.24,0.04
id02508,0.38,0.36,0.26
id02510,0.66,0,0.34
id02513,0.14,0.44,0.42
id02517,0.56,0.32,0.12
id02523,0.68,0,0.32
id02525,0.36,0.22,0.42
id02527,0.5,0.06,0.44
id02535,0.34,0.38,0.28
id02537,0.68,0,0.32
id02540,0.44,0.18,0.38
id02551,0.22,0.5,0.28
id02554,0.56,0.18,0.26
id02556,0.54,0.18,0.28
id02564,0.7,0.1,0.2
id02566,0.26,0.4,0.34
id02569,0.72,0.04,0.24
id02571,0.18,0.5,0.32
id02573,0.68,0.08,0.24
id02576,0.26,0.42,0.32
id02585,0.54,0.06,0.4
id02587,0.5,0.24,0.26
id02597,0.32,0.28,0.4
id02600,0.54,0.12,0.34
id02601,0.2,0.36,0.44
id02603,0.14,0.5,0.36
id02608,0.36,0.42,0.22
id02610,0.22,0.48,0.3
id02613,0.66,0.08,0.26
id02618,0.5,0.32,0.18
id02623,0.34,0.24,0.42
id02624,0.42,0.24,0.34
id02629,0.32,0.3,0.38
id02631,0.78,0.02,0.2
id02634,0.48,0.38,0.14
id02641,0.54,0.26,0.2
id02642,0.58,0.12,0.3
id02643,0.42,0.14,0.44
id02648,0.46,0.2,0.34
id02650,0.58,0.26,0.16
id02654,0.4,0.36,0.24
id02659,0.5,0.34,0.16
id02661,0.5,0.36,0.14
id02664,0.06,0.5,0.44
id02665,0.44,0.46,0.1
id02669,0.62,0.06,0.32
id02671,0.38,0.46,0.16
id02679,0.82,0.1,0.08
id02681,0.32,0.36,0.32
id02684,0.3,0.34,0.36
id02686,0.24,0.42,0.34
id02688,0.36,0.34,0.3
id02689,0.44,0.38,0.18
id02692,0.5,0.3,0.2
id02709,0.52,0.3,0.18
id02713,0.22,0.2,0.58
id02716,0.56,0.08,0.36
id02724,0.5,0.1,0.4
id02727,0.44,0.34,0.22
id02729,0.18,0.28,0.54
id02733,1,0,0
id02736,0.26,0.3,0.44
id02737,0.3,0.42,0.28
id02738,0.56,0.16,0.28
id02745,0.5,0.36,0.14
id02748,0.66,0.2,0.14
id02751,0.46,0.02,0.52
id02752,0.36,0.42,0.22
id02756,0.4,0.28,0.32
id02757,0.44,0.28,0.28
id02759,0.64,0.1,0.26
id02760,0.86,0.1,0.04
id02763,0.62,0.14,0.24
id02765,0.32,0.18,0.5
id02770,0.36,0.3,0.34
id02776,0.58,0.2,0.22
id02777,0.38,0.1,0.52
id02781,0.44,0.18,0.38
id02782,0.5,0.36,0.14
id02783,0.06,0.26,0.68
id02785,0.3,0.42,0.28
id02786,0.46,0.22,0.32
id02790,0.66,0.12,0.22
id02792,0.58,0.04,0.38
id02793,0.78,0,0.22
id02796,0.28,0.52,0.2
id02797,0.26,0.26,0.48
id02800,0.44,0.36,0.2
id02804,0.72,0.06,0.22
id02808,0.3,0.16,0.54
id02814,0.62,0.26,0.12
id02816,0.6,0.12,0.28
id02821,0.2,0.64,0.16
id02826,0.74,0.14,0.12
id02829,0.18,0.16,0.66
id02832,0.44,0.24,0.32
id02837,0.44,0.22,0.34
id02842,0.74,0.18,0.08
id02843,0.22,0.02,0.76
id02844,0.16,0.16,0.68
id02845,0.66,0.14,0.2
id02847,0.6,0.06,0.34
id02851,0.48,0.28,0.24
id02853,0.66,0.22,0.12
id02857,0.64,0.1,0.26
id02860,0.56,0.3,0.14
id02862,0.5,0.32,0.18
id02866,0.3,0.2,0.5
id02869,0.4,0.46,0.14
id02879,0.3,0.28,0.42
id02880,0.84,0.06,0.1
id02882,0.56,0.22,0.22
id02890,0.44,0.3,0.26
id02892,0.28,0.62,0.1
id02895,0.26,0.24,0.5
id02903,0.92,0.02,0.06
id02906,0.4,0.26,0.34
id02907,0.26,0.44,0.3
id02910,0.32,0.32,0.36
id02916,0.26,0.38,0.36
id02917,0.66,0.16,0.18
id02918,0.58,0.36,0.06
id02919,0.2,0.52,0.28
id02925,0.22,0.48,0.3
id02926,0.46,0.34,0.2
